NAF_SECTION,Entité,g CO2 / € du secteur,g CO2 /  € de l'entreprise,tonnes CO2 scopes 1 & 2
HÉBERGEMENT ET RESTAURATION,CDC Habitat  ADOMA,35.39174818344916,158498.52350736718,82980
INDUSTRIE MANUFACTURIÈRE,MONTUPET,111.09005926541855,106447.32564981423,25870
ACTIVITÉS IMMOBILIÈRES,CDC Habitat,85.19463342256317,104675.63147904802,71692.34
TRANSPORTS ET ENTREPOSAGE,Keolis Orléans Val de Loire,204.66311751274316,76826.62510971395,12867
INDUSTRIE MANUFACTURIÈRE,Les ateliers du goût SAS,111.09005926541855,38283.50541301536,5356256
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,MONOPRIX SAS,19.57412416974631,30961.947251326503,131235
INDUSTRIE MANUFACTURIÈRE,Manufacture Francaise des Pneumatiques Michelin,111.09005926541855,28353.48395821858,130028
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,ArcelorMittal Maizieres Research,19.57412416974631,27764.306498545102,2977
INDUSTRIE MANUFACTURIÈRE,DEFONTAINE SAS,111.09005926541855,25595.524542829644,3404
ACTIVITÉS FINANCIÈRES ET DASSURANCE,Allianz France,0.9862627254439513,24181.451612903224,23988
INDUSTRIE MANUFACTURIÈRE,ROQUETTE,111.09005926541855,22220.958806864735,779735
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,BRAND FRANCE,19.57412416974631,21239.485039284762,1486262
TRANSPORTS ET ENTREPOSAGE,Besançon Mobilités,204.66311751274316,20691.743108882765,7313
Prdn  distr élec gaz vap  air cond,Uniper France Power,453.26341942164385,17971.52068727129,4364999
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,SYSTEME U OUEST,10.451564077108435,17416.20626151013,9457
INDUSTRIE MANUFACTURIÈRE,ENTREMONT,111.09005926541855,15421.505622612513,94806.42
ACTIVITÉS FINANCIÈRES ET DASSURANCE,CA Indosuez Wealth France,0.9862627254439513,7220,324.9
INDUSTRIE MANUFACTURIÈRE,LafargeHolcim Ciments,111.09005926541855,7196.084950321234,3566394
INDUSTRIE MANUFACTURIÈRE,Ciments Calcia,111.09005926541855,5321.664232215222,3467115
INDUSTRIE MANUFACTURIÈRE,FERROPEM,111.09005926541855,5309.411981582213,1444568.82
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,SICF,19.57412416974631,5158.49496864518,176859
TRANSPORTS ET ENTREPOSAGE,TRANSDEV Nancy,204.66311751274316,4923.813840291302,13721
INDUSTRIE MANUFACTURIÈRE,BOREALIS CHIMIE SAS,111.09005926541855,4821.407898546192,1389514
INDUSTRIE MANUFACTURIÈRE,EQIOM,111.09005926541855,4412.8366082778075,1451575
